,EGRA Section 1a Score,EGRA Section 1b Score,EGRA Section 1c Score,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 Letters Correct,EGRA Section 3 Time Completed,EGRA Section 3 LPM,EGRA Section 4 Words Correct,EGRA Section 4 Time Completed,EGRA Section 4: WPM,EGRA Section 5 Words Correct,EGRA Section 5 Time Completed,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 6 Written Words Correct,EGRA Section 6 Correct Space/Direction,EGRA Section 6 Correct Punctuation,EGRA Section 6 Correct Use of Capitals,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
116,1,1,1,0,5,3,60.0,3.0,3,60.0,3,26,180.0,9,0,0,2,0,0,2,3,2
117,1,1,1,0,5,3,60.0,3.0,3,60.0,3,26,180.0,9,0,0,2,0,0,2,3,2
118,1,1,1,0,5,3,60.0,3.0,3,60.0,3,26,180.0,9,0,0,2,0,0,2,3,2
119,1,1,1,39,4,56,60.0,56.0,3,60.0,3,23,180.0,8,3,0,2,0,1,0,3,3
120,1,1,1,39,4,56,60.0,56.0,3,60.0,3,23,180.0,8,3,0,2,0,1,0,3,3
121,1,1,1,39,4,56,60.0,56.0,3,60.0,3,23,180.0,8,3,0,2,0,1,0,3,3
122,1,1,1,14,4,48,60.0,48.0,1,60.0,1,18,180.0,6,4,0,2,0,1,2,3,3
123,1,1,1,14,4,48,60.0,48.0,1,60.0,1,18,180.0,6,4,0,2,0,1,2,3,3
124,1,1,1,14,4,48,60.0,48.0,1,60.0,1,18,180.0,6,4,0,2,0,1,2,3,3
125,1,1,1,0,5,33,60.0,33.0,1,60.0,1,0,14.0,0,0,0,2,0,0,3,3,2
126,1,1,1,0,5,33,60.0,33.0,1,60.0,1,0,14.0,0,0,0,2,0,0,3,3,2
127,1,1,1,0,5,33,60.0,33.0,1,60.0,1,0,14.0,0,0,0,2,0,0,3,3,2
128,1,1,1,6,8,57,60.0,57.0,1,60.0,1,15,180.0,5,0,0,2,0,0,0,3,2
129,1,1,1,6,8,57,60.0,57.0,1,60.0,1,15,180.0,5,0,0,2,0,0,0,3,2
130,1,1,1,6,8,57,60.0,57.0,1,60.0,1,15,180.0,5,0,0,2,0,0,0,3,2
131,1,1,1,32,10,80,60.0,80.0,23,60.0,23,59,71.0,50,4,1,2,0,1,0,3,4
132,1,1,1,32,10,80,60.0,80.0,23,60.0,23,59,71.0,50,4,1,2,0,1,0,3,4
133,1,1,1,32,10,80,60.0,80.0,23,60.0,23,59,71.0,50,4,1,2,0,1,0,3,4
134,1,1,1,18,6,62,60.0,62.0,10,60.0,10,51,121.0,25,2,0,2,0,0,1,3,2
135,1,1,1,18,6,62,60.0,62.0,10,60.0,10,51,121.0,25,2,0,2,0,0,1,3,2
136,1,1,1,18,6,62,60.0,62.0,10,60.0,10,51,121.0,25,2,0,2,0,0,1,3,2
137,1,1,1,0,4,3,60.0,3.0,6,60.0,6,45,146.0,18,0,0,2,0,0,1,3,2
138,1,1,1,0,4,3,60.0,3.0,6,60.0,6,45,146.0,18,0,0,2,0,0,1,3,2
139,1,1,1,0,4,3,60.0,3.0,6,60.0,6,45,146.0,18,0,0,2,0,0,1,3,2
140,1,0,0,0,3,7,60.0,7.0,0,36.0,0,3,180.0,1,0,0,0,0,0,1,1,0
141,1,0,0,0,3,7,60.0,7.0,0,36.0,0,3,180.0,1,0,0,0,0,0,1,1,0
142,1,0,0,0,3,7,60.0,7.0,0,36.0,0,3,180.0,1,0,0,0,0,0,1,1,0
143,1,1,1,13,5,46,60.0,46.0,1,60.0,1,3,180.0,1,4,0,2,0,0,0,3,2
144,1,1,1,13,5,46,60.0,46.0,1,60.0,1,3,180.0,1,4,0,2,0,0,0,3,2
145,1,1,1,13,5,46,60.0,46.0,1,60.0,1,3,180.0,1,4,0,2,0,0,0,3,2
146,1,1,1,8,6,35,60.0,35.0,2,60.0,2,34,167.0,12,2,0,1,0,0,2,3,1
147,1,1,1,8,6,35,60.0,35.0,2,60.0,2,34,167.0,12,2,0,1,0,0,2,3,1
148,1,1,1,8,6,35,60.0,35.0,2,60.0,2,34,167.0,12,2,0,1,0,0,2,3,1
149,1,1,1,25,5,58,60.0,58.0,25,60.0,25,59,70.0,51,8,0,2,0,0,2,3,2
150,1,1,1,25,5,58,60.0,58.0,25,60.0,25,59,70.0,51,8,0,2,0,0,2,3,2
151,1,1,1,25,5,58,60.0,58.0,25,60.0,25,59,70.0,51,8,0,2,0,0,2,3,2
152,1,1,1,35,8,65,60.0,65.0,34,60.0,34,56,65.0,52,7,0,2,0,1,3,3,3
153,1,1,1,35,8,65,60.0,65.0,34,60.0,34,56,65.0,52,7,0,2,0,1,3,3,3
154,1,1,1,35,8,65,60.0,65.0,34,60.0,34,56,65.0,52,7,0,2,0,1,3,3,3
155,1,1,1,30,4,80,60.0,80.0,46,52.0,53,60,40.0,90,9,3,2,0,1,4,3,6
156,1,1,1,32,4,77,60.0,77.0,43,60.0,43,58,59.0,59,8,2,2,0,1,3,3,5
157,1,1,1,49,9,99,57.0,104.0,50,37.0,81,60,30.0,120,9,4,2,0,1,4,3,7
158,1,1,1,42,7,100,58.0,103.0,48,41.0,70,60,36.0,100,10,3,2,0,1,4,3,6
159,1,1,1,0,3,37,60.0,37.0,7,60.0,7,38,110.0,21,2,0,2,0,0,0,3,2
160,1,1,1,0,5,20,60.0,20.0,5,60.0,5,0,10.0,0,0,0,2,0,0,1,3,2
161,1,1,1,36,7,100,48.0,125.0,48,41.0,70,60,33.0,109,10,4,2,0,0,4,3,6
162,1,1,1,34,9,94,60.0,94.0,49,47.0,63,60,32.0,113,10,4,2,1,1,4,3,8
163,1,1,1,9,6,62,60.0,62.0,6,60.0,6,42,115.0,22,5,3,2,0,1,1,3,6
164,1,1,1,10,4,55,60.0,55.0,10,60.0,10,39,134.0,17,3,0,2,0,0,1,3,2
165,1,1,1,27,5,72,60.0,72.0,37,60.0,37,59,62.0,57,8,3,2,0,0,3,3,5
166,1,1,1,19,5,76,60.0,76.0,40,60.0,40,56,75.0,45,7,3,2,0,0,2,3,5
167,1,1,1,0,6,59,60.0,59.0,7,60.0,7,44,146.0,18,4,3,2,0,0,2,3,5
168,1,1,1,0,7,57,60.0,57.0,5,60.0,5,38,172.0,13,5,1,2,0,0,3,3,3
169,1,1,1,50,10,100,54.0,111.0,50,40.0,75,60,30.0,120,10,3,2,1,1,4,3,7
170,1,1,1,50,10,100,58.0,103.0,50,41.0,73,59,29.0,122,9,4,2,0,1,3,3,7
171,1,1,1,44,7,100,47.0,128.0,48,40.0,72,59,28.0,126,9,3,2,0,1,4,3,6
172,1,1,1,47,8,100,50.0,120.0,50,35.0,86,60,30.0,120,10,4,2,0,1,4,3,7
173,1,1,1,1,4,51,60.0,51.0,3,60.0,3,40,180.0,13,0,1,2,0,0,3,3,3
174,1,1,1,0,4,49,60.0,49.0,4,60.0,4,36,180.0,12,1,0,2,0,0,3,3,2
175,1,1,1,50,8,100,53.0,113.0,50,47.0,64,60,33.0,109,10,4,2,0,1,4,3,7
176,1,1,1,37,4,98,60.0,98.0,50,38.0,79,60,26.0,138,9,4,2,0,0,4,3,6
177,1,1,1,22,3,69,60.0,69.0,24,60.0,24,57,85.0,40,2,1,2,0,1,2,3,4
178,1,1,1,34,4,75,60.0,75.0,21,60.0,21,52,104.0,30,0,0,2,0,0,2,3,2
179,1,1,1,50,9,99,58.0,102.0,47,42.0,67,60,30.0,120,10,4,2,1,0,3,3,7
180,1,1,1,43,10,95,60.0,95.0,46,41.0,67,59,33.0,107,8,4,2,0,0,4,3,6
181,1,1,1,22,7,99,59.0,101.0,46,44.0,63,58,37.0,94,8,4,2,1,1,4,3,8
182,1,1,1,16,6,89,60.0,89.0,47,55.0,51,55,51.0,65,7,4,2,0,1,2,3,7
183,1,1,1,42,9,75,60.0,75.0,49,60.0,49,60,43.0,84,10,4,2,1,1,4,3,8
184,1,1,1,42,9,75,60.0,75.0,49,60.0,49,60,43.0,84,10,4,2,1,1,4,3,8
185,1,0,0,25,8,48,60.0,48.0,45,55.0,49,59,44.0,80,9,3,2,0,0,2,1,5
186,1,0,0,25,8,48,60.0,48.0,45,55.0,49,59,44.0,80,9,3,2,0,0,2,1,5
187,1,1,1,26,4,100,58.0,103.0,46,43.0,64,59,29.0,122,10,3,2,0,1,4,3,6
188,1,1,1,26,4,100,58.0,103.0,46,43.0,64,59,29.0,122,10,3,2,0,1,4,3,6
189,1,1,1,14,0,83,60.0,83.0,45,60.0,45,59,44.0,80,10,4,2,1,1,2,3,8
190,1,1,1,14,0,83,60.0,83.0,45,60.0,45,59,44.0,80,10,4,2,1,1,2,3,8
191,1,1,0,14,8,72,60.0,72.0,23,60.0,23,51,68.0,45,4,0,2,1,0,2,2,3
192,1,1,0,14,8,72,60.0,72.0,23,60.0,23,51,68.0,45,4,0,2,1,0,2,2,3
193,1,1,0,7,8,52,60.0,52.0,11,60.0,11,46,98.0,28,3,0,2,0,0,1,2,2
194,1,1,0,7,8,52,60.0,52.0,11,60.0,11,46,98.0,28,3,0,2,0,0,1,2,2
195,1,1,1,43,7,57,60.0,57.0,48,56.0,51,60,37.0,97,10,2,2,0,0,4,3,4
196,1,1,1,43,7,57,60.0,57.0,48,56.0,51,60,37.0,97,10,2,2,0,0,4,3,4
197,1,1,1,30,2,58,60.0,58.0,39,60.0,39,58,47.0,74,10,2,2,0,0,2,3,4
198,1,1,1,30,2,58,60.0,58.0,39,60.0,39,58,47.0,74,10,2,2,0,0,2,3,4
199,1,1,1,25,8,56,60.0,56.0,35,60.0,35,60,51.0,71,7,0,2,0,0,3,3,2
200,1,1,1,25,8,56,60.0,56.0,35,60.0,35,60,51.0,71,7,0,2,0,0,3,3,2
201,1,0,0,15,1,70,60.0,70.0,11,60.0,11,47,125.0,23,6,0,1,0,0,3,1,1
202,1,0,0,15,1,70,60.0,70.0,11,60.0,11,47,125.0,23,6,0,1,0,0,3,1,1
203,1,1,1,50,2,63,60.0,63.0,50,41.0,73,60,25.0,144,8,4,1,1,1,4,3,7
204,1,1,1,50,2,63,60.0,63.0,50,41.0,73,60,25.0,144,8,4,1,1,1,4,3,7
205,1,1,1,33,0,52,60.0,52.0,42,60.0,42,60,41.0,88,10,3,2,0,1,3,3,6
206,1,1,1,33,0,52,60.0,52.0,42,60.0,42,60,41.0,88,10,3,2,0,1,3,3,6
207,1,1,1,18,3,50,60.0,50.0,45,41.0,66,60,33.0,109,6,0,1,0,1,2,3,2
208,1,1,1,47,5,67,60.0,67.0,47,41.0,69,60,34.0,106,10,4,2,0,0,3,3,6
209,1,1,1,8,6,65,60.0,65.0,36,60.0,36,59,36.0,98,8,4,2,1,0,3,3,7
210,1,1,1,15,3,37,60.0,37.0,45,55.0,49,60,51.0,71,2,1,1,0,0,4,3,2
211,1,1,1,0,2,5,60.0,5.0,0,28.0,0,0,52.0,0,0,0,1,0,0,2,3,1
212,1,1,1,17,4,55,60.0,55.0,32,60.0,32,57,52.0,66,8,2,2,0,0,3,3,4
213,1,1,1,18,7,61,60.0,61.0,12,60.0,12,51,102.0,30,9,0,2,0,0,4,3,2
214,1,1,1,2,5,5,60.0,5.0,2,60.0,2,17,159.0,6,4,0,1,0,0,4,3,1
215,1,1,1,0,3,2,60.0,2.0,47,60.0,47,58,36.0,97,0,0,1,0,0,2,3,1
216,1,1,1,17,10,80,60.0,80.0,29,60.0,29,60,73.0,49,8,1,2,0,0,4,3,3
217,1,1,1,20,8,73,60.0,73.0,11,60.0,11,49,75.0,39,7,0,2,0,1,1,3,3
218,1,1,1,11,6,47,60.0,47.0,34,60.0,34,59,71.0,50,5,0,2,1,1,3,3,4
219,1,1,1,24,5,82,60.0,82.0,22,60.0,22,56,39.0,86,6,0,2,0,0,4,3,2
220,1,0,1,2,7,23,60.0,23.0,47,48.0,59,60,33.0,109,1,0,1,0,0,1,2,1
221,1,1,1,4,6,45,60.0,45.0,3,60.0,3,32,180.0,11,0,0,2,0,0,4,3,2
222,1,1,1,15,7,17,60.0,17.0,7,60.0,7,52,124.0,25,1,0,2,0,0,0,3,2
223,1,1,1,0,2,55,60.0,55.0,19,60.0,19,50,65.0,46,0,0,2,0,0,2,3,2
224,1,1,1,7,4,60,60.0,60.0,14,60.0,14,55,103.0,32,6,1,2,0,1,3,3,4
225,1,1,1,31,4,68,60.0,68.0,44,60.0,44,60,50.0,72,8,4,2,0,1,4,3,7
226,1,1,1,0,2,60,60.0,60.0,7,60.0,7,42,116.0,22,4,0,2,0,0,3,3,2
227,1,1,1,48,8,86,60.0,86.0,49,31.0,95,60,39.0,92,10,2,2,1,1,4,3,6
228,1,0,1,50,9,87,60.0,87.0,48,45.0,64,60,40.0,90,9,4,2,1,1,4,2,8
229,1,1,0,49,8,99,60.0,99.0,50,31.0,97,60,27.0,133,7,4,2,1,0,4,2,7
230,1,1,1,47,8,65,60.0,65.0,47,49.0,58,59,32.0,111,8,4,2,0,1,4,3,7
231,1,1,1,31,9,78,60.0,78.0,49,45.0,65,60,29.0,124,10,4,2,1,1,4,3,8
232,1,1,1,18,6,66,60.0,66.0,44,60.0,44,59,35.0,101,9,4,2,1,1,4,3,8
233,1,1,0,37,7,65,60.0,65.0,48,54.0,53,60,38.0,95,8,3,2,1,1,4,2,7
234,1,1,1,34,6,64,60.0,64.0,42,52.0,48,59,40.0,89,7,2,2,0,0,4,3,4
