,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
139,0,4,3.0,6,18,0,1,3,2
140,0,3,7.0,0,1,0,1,1,0
141,0,3,7.0,0,1,0,1,1,0
142,0,3,7.0,0,1,0,1,1,0
143,13,5,46.0,1,1,4,0,3,2
144,13,5,46.0,1,1,4,0,3,2
145,13,5,46.0,1,1,4,0,3,2
146,8,6,35.0,2,12,2,2,3,1
147,8,6,35.0,2,12,2,2,3,1
148,8,6,35.0,2,12,2,2,3,1
149,25,5,58.0,25,51,8,2,3,2
150,25,5,58.0,25,51,8,2,3,2
151,25,5,58.0,25,51,8,2,3,2
152,35,8,65.0,34,52,7,3,3,3
153,35,8,65.0,34,52,7,3,3,3
154,35,8,65.0,34,52,7,3,3,3
155,30,4,80.0,53,90,9,4,3,6
156,32,4,77.0,43,59,8,3,3,5
157,49,9,104.0,81,120,9,4,3,7
158,42,7,103.0,70,100,10,4,3,6
159,0,3,37.0,7,21,2,0,3,2
160,0,5,20.0,5,0,0,1,3,2
161,36,7,125.0,70,109,10,4,3,6
162,34,9,94.0,63,113,10,4,3,8
163,9,6,62.0,6,22,5,1,3,6
164,10,4,55.0,10,17,3,1,3,2
165,27,5,72.0,37,57,8,3,3,5
166,19,5,76.0,40,45,7,2,3,5
167,0,6,59.0,7,18,4,2,3,5
168,0,7,57.0,5,13,5,3,3,3
169,50,10,111.0,75,120,10,4,3,7
170,50,10,103.0,73,122,9,3,3,7
171,44,7,128.0,72,126,9,4,3,6
172,47,8,120.0,86,120,10,4,3,7
173,1,4,51.0,3,13,0,3,3,3
174,0,4,49.0,4,12,1,3,3,2
175,50,8,113.0,64,109,10,4,3,7
176,37,4,98.0,79,138,9,4,3,6
177,22,3,69.0,24,40,2,2,3,4
178,34,4,75.0,21,30,0,2,3,2
179,50,9,102.0,67,120,10,3,3,7
180,43,10,95.0,67,107,8,4,3,6
181,22,7,101.0,63,94,8,4,3,8
182,16,6,89.0,51,65,7,2,3,7
183,42,9,75.0,49,84,10,4,3,8
184,42,9,75.0,49,84,10,4,3,8
185,25,8,48.0,49,80,9,2,1,5
186,25,8,48.0,49,80,9,2,1,5
187,26,4,103.0,64,122,10,4,3,6
188,26,4,103.0,64,122,10,4,3,6
189,14,0,83.0,45,80,10,2,3,8
190,14,0,83.0,45,80,10,2,3,8
191,14,8,72.0,23,45,4,2,2,3
192,14,8,72.0,23,45,4,2,2,3
193,7,8,52.0,11,28,3,1,2,2
194,7,8,52.0,11,28,3,1,2,2
195,43,7,57.0,51,97,10,4,3,4
196,43,7,57.0,51,97,10,4,3,4
197,30,2,58.0,39,74,10,2,3,4
198,30,2,58.0,39,74,10,2,3,4
