,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
597,14,6,48.0,6,18,2,2,3,2
598,14,6,48.0,6,18,2,2,3,2
599,0,6,23.0,2,5,1,3,3,3
600,0,6,23.0,2,5,1,3,3,3
601,28,6,36.0,24,27,8,2,3,3
602,28,6,36.0,24,27,8,2,3,3
603,18,5,62.0,24,22,5,2,3,2
604,18,5,62.0,24,22,5,2,3,2
605,21,7,52.0,27,52,10,3,3,5
606,21,7,52.0,27,52,10,3,3,5
607,17,7,51.0,20,30,5,2,3,4
608,17,7,51.0,20,30,5,2,3,4
609,24,8,29.0,14,27,5,2,3,3
610,24,8,29.0,14,27,5,2,3,3
611,24,8,65.0,20,19,5,2,3,3
612,24,8,65.0,20,19,5,2,3,3
613,42,10,88.0,13,26,10,4,3,5
614,36,1,58.0,45,89,9,3,2,3
615,29,5,42.0,41,86,9,3,3,4
616,3,9,65.0,2,0,9,2,3,2
617,11,6,60.0,8,21,5,3,2,3
618,3,3,40.0,78,92,4,3,3,0
619,47,7,97.0,49,80,7,3,2,6
620,36,8,55.0,55,107,8,2,1,6
621,44,5,62.0,64,84,10,4,3,6
622,45,9,54.0,59,106,10,3,3,7
623,42,8,70.0,68,113,9,4,3,4
624,0,3,12.0,3,0,0,3,3,0
625,0,5,11.0,2,0,0,0,3,0
626,34,7,86.0,34,61,9,3,3,8
627,22,8,85.0,20,31,8,4,3,3
628,49,6,70.0,63,109,8,4,3,8
629,47,9,71.0,63,84,9,3,3,7
630,50,8,89.0,79,129,9,2,3,7
631,50,7,100.0,60,116,8,2,3,6
632,3,8,47.0,1,0,3,1,3,3
633,3,8,47.0,1,0,3,1,3,3
634,8,2,24.0,3,0,0,3,3,2
635,8,2,24.0,3,0,0,3,3,2
636,0,0,18.0,17,23,0,2,3,2
637,0,0,18.0,17,23,0,2,3,2
638,14,7,62.0,6,10,2,0,3,2
639,0,1,3.0,0,3,0,0,3,0
640,15,6,88.0,3,10,10,4,3,4
641,0,7,21.0,2,9,4,3,3,2
642,0,2,5.0,10,0,0,1,3,0
643,0,6,23.0,0,6,3,1,3,1
644,0,6,3.0,0,0,1,1,3,1
645,5,4,49.0,0,3,3,2,3,2
646,6,4,39.0,13,16,3,3,3,3
647,10,5,26.0,9,9,1,2,2,2
648,50,9,89.0,3,8,10,4,3,6
649,32,9,75.0,28,31,6,4,3,5
650,32,9,75.0,28,31,6,4,3,5
651,32,9,75.0,28,31,6,4,3,5
652,22,8,60.0,18,17,2,1,3,3
653,22,8,60.0,18,17,2,1,3,3
654,22,8,60.0,18,17,2,1,3,3
655,22,7,75.0,29,39,6,4,3,3
656,22,7,75.0,29,39,6,4,3,3
657,22,7,75.0,29,39,6,4,3,3
658,12,3,57.0,9,18,3,1,3,2
659,12,3,57.0,9,18,3,1,3,2
660,12,3,57.0,9,18,3,1,3,2
661,39,3,75.0,45,91,10,4,3,7
662,39,3,75.0,45,91,10,4,3,7
663,39,3,75.0,45,91,10,4,3,7
664,4,5,40.0,3,12,3,2,3,0
665,4,5,40.0,3,12,3,2,3,0
666,4,5,40.0,3,12,3,2,3,0
667,40,3,60.0,46,84,7,4,3,8
668,40,3,60.0,46,84,7,4,3,8
669,40,3,60.0,46,84,7,4,3,8
670,34,5,57.0,37,42,6,1,3,4
671,34,5,57.0,37,42,6,1,3,4
672,34,5,57.0,37,42,6,1,3,4
673,18,2,62.0,12,21,4,3,3,2
674,18,2,62.0,12,21,4,3,3,2
675,18,2,62.0,12,21,4,3,3,2
676,9,7,40.0,3,9,3,3,2,2
677,9,7,40.0,3,9,3,3,2,2
678,9,7,40.0,3,9,3,3,2,2
679,0,4,52.0,3,10,2,4,3,1
680,0,4,52.0,3,10,2,4,3,1
681,0,4,52.0,3,10,2,4,3,1
682,25,2,62.0,18,24,3,2,3,2
683,25,2,62.0,18,24,3,2,3,2
684,25,2,62.0,18,24,3,2,3,2
685,0,4,43.0,1,8,5,4,3,1
686,0,4,43.0,1,8,5,4,3,1
687,0,4,43.0,1,8,5,4,3,1
688,0,4,35.0,3,3,3,4,2,1
689,0,4,35.0,3,3,3,4,2,1
690,0,4,35.0,3,3,3,4,2,1
691,25,5,50.0,41,72,8,1,3,3
692,25,5,50.0,41,72,8,1,3,3
693,25,5,50.0,41,72,8,1,3,3
694,27,5,49.0,26,54,3,0,3,3
695,27,5,49.0,26,54,3,0,3,3
696,27,5,49.0,26,54,3,0,3,3
697,26,5,85.0,39,39,7,4,3,3
698,26,5,85.0,39,39,7,4,3,3
699,26,5,85.0,39,39,7,4,3,3
700,17,6,46.0,26,28,5,3,3,2
701,17,6,46.0,26,28,5,3,3,2
702,17,6,46.0,26,28,5,3,3,2
703,17,8,59.0,31,49,9,4,3,3
704,17,8,59.0,31,49,9,4,3,3
705,17,8,59.0,31,49,9,4,3,3
706,15,4,54.0,17,22,5,3,3,1
707,15,4,54.0,17,22,5,3,3,1
708,15,4,54.0,17,22,5,3,3,1
709,0,4,8.0,19,54,0,1,1,0
710,21,4,37.0,31,57,0,1,3,1
711,0,0,31.0,1,14,0,0,3,2
712,0,5,11.0,11,27,3,3,3,1
713,0,4,2.0,0,0,0,3,3,0
714,5,5,30.0,3,8,6,2,3,1
715,0,6,4.0,45,45,0,0,3,0
716,10,3,15.0,6,21,4,0,3,1
717,48,10,103.0,76,111,10,4,3,6
718,32,6,95.0,51,74,8,3,2,5
719,0,5,0.0,28,38,0,2,3,0
720,37,6,66.0,3,11,8,2,3,4
721,24,3,72.0,57,90,9,2,3,4
722,26,7,93.0,74,120,9,3,3,6
723,25,6,88.0,45,93,9,3,3,5
724,25,6,88.0,45,93,9,3,3,5
725,25,6,88.0,45,93,9,3,3,5
726,26,6,83.0,42,44,8,2,3,4
727,26,6,83.0,42,44,8,2,3,4
728,26,6,83.0,42,44,8,2,3,4
729,0,0,64.0,29,42,5,2,2,2
730,0,0,64.0,29,42,5,2,2,2
731,0,0,64.0,29,42,5,2,2,2
732,0,2,45.0,13,34,5,2,3,3
733,0,2,45.0,13,34,5,2,3,3
734,0,2,45.0,13,34,5,2,3,3
735,0,3,9.0,2,9,1,4,3,1
736,0,3,9.0,2,9,1,4,3,1
737,0,3,9.0,2,9,1,4,3,1
738,0,5,4.0,2,5,0,2,3,1
739,0,5,4.0,2,5,0,2,3,1
740,0,5,4.0,2,5,0,2,3,1
741,7,4,43.0,1,6,2,4,3,3
742,7,4,43.0,1,6,2,4,3,3
743,7,4,43.0,1,6,2,4,3,3
744,0,2,30.0,0,0,0,0,3,0
745,0,2,30.0,0,0,0,0,3,0
746,0,2,30.0,0,0,0,0,3,0
747,49,9,111.0,67,97,10,4,3,7
748,49,9,111.0,67,97,10,4,3,7
749,49,9,111.0,67,97,10,4,3,7
750,47,7,111.0,81,90,10,3,3,7
751,47,7,111.0,81,90,10,3,3,7
752,47,7,111.0,81,90,10,3,3,7
753,11,9,85.0,31,68,10,4,3,5
754,11,9,85.0,31,68,10,4,3,5
755,11,9,85.0,31,68,10,4,3,5
756,5,5,77.0,18,38,10,4,2,6
757,5,5,77.0,18,38,10,4,2,6
758,5,5,77.0,18,38,10,4,2,6
759,50,10,109.0,83,133,10,4,3,8
760,50,10,109.0,83,133,10,4,3,8
761,50,10,109.0,83,133,10,4,3,8
762,50,9,87.0,65,124,10,3,3,7
763,50,9,87.0,65,124,10,3,3,7
764,50,9,87.0,65,124,10,3,3,7
765,50,9,107.0,77,113,9,3,3,8
766,50,9,107.0,77,113,9,3,3,8
767,50,9,107.0,77,113,9,3,3,8
768,32,6,90.0,64,97,7,1,3,6
769,32,6,90.0,64,97,7,1,3,6
770,32,6,90.0,64,97,7,1,3,6
771,0,6,80.0,3,15,5,3,3,4
772,0,6,80.0,3,15,5,3,3,4
773,0,6,80.0,3,15,5,3,3,4
774,0,5,68.0,1,12,4,2,1,3
775,0,5,68.0,1,12,4,2,1,3
776,0,5,68.0,1,12,4,2,1,3
777,46,8,99.0,78,145,9,4,3,7
778,46,8,99.0,78,145,9,4,3,7
779,46,8,99.0,78,145,9,4,3,7
780,29,6,99.0,79,113,10,3,3,7
781,29,6,99.0,79,113,10,3,3,7
782,29,6,99.0,79,113,10,3,3,7
783,10,8,49.0,13,14,9,4,3,4
784,10,8,49.0,13,14,9,4,3,4
785,10,8,49.0,13,14,9,4,3,4
786,10,8,49.0,13,14,9,4,3,4
787,3,6,27.0,2,6,0,0,3,1
788,3,6,27.0,2,6,0,0,3,1
789,3,6,27.0,2,6,0,0,3,1
790,3,6,27.0,2,6,0,0,3,1
791,12,8,56.0,5,22,9,4,3,4
792,12,8,56.0,5,22,9,4,3,4
793,12,8,56.0,5,22,9,4,3,4
794,12,8,56.0,5,22,9,4,3,4
795,9,6,50.0,3,10,3,0,3,3
796,9,6,50.0,3,10,3,0,3,3
797,9,6,50.0,3,10,3,0,3,3
798,9,6,50.0,3,10,3,0,3,3
799,3,6,16.0,0,2,10,2,3,3
800,3,6,16.0,0,2,10,2,3,3
801,3,6,16.0,0,2,10,2,3,3
802,3,6,16.0,0,2,10,2,3,3
803,0,5,13.0,0,0,0,1,3,2
804,0,5,13.0,0,0,0,1,3,2
805,0,5,13.0,0,0,0,1,3,2
806,0,5,13.0,0,0,0,1,3,2
807,0,4,18.0,0,4,0,3,3,2
808,0,4,18.0,0,4,0,3,3,2
809,0,4,18.0,0,4,0,3,3,2
810,0,4,18.0,0,4,0,3,3,2
811,0,4,9.0,2,0,0,0,1,1
812,0,4,9.0,2,0,0,0,1,1
813,0,4,9.0,2,0,0,0,1,1
814,0,4,9.0,2,0,0,0,1,1
815,5,3,47.0,5,10,8,2,3,0
816,5,3,47.0,5,10,8,2,3,0
817,5,3,47.0,5,10,8,2,3,0
818,5,3,47.0,5,10,8,2,3,0
819,7,4,39.0,3,7,0,1,3,1
820,7,4,39.0,3,7,0,1,3,1
821,7,4,39.0,3,7,0,1,3,1
822,7,4,39.0,3,7,0,1,3,1
823,9,7,55.0,6,13,0,0,3,0
824,9,7,55.0,6,13,0,0,3,0
825,9,7,55.0,6,13,0,0,3,0
826,9,7,55.0,6,13,0,0,3,0
827,13,4,59.0,7,11,2,1,3,2
828,13,4,59.0,7,11,2,1,3,2
829,13,4,59.0,7,11,2,1,3,2
830,13,4,59.0,7,11,2,1,3,2
831,11,5,55.0,11,14,10,4,2,7
832,11,5,55.0,11,14,10,4,2,7
833,11,5,55.0,11,14,10,4,2,7
834,11,5,55.0,11,14,10,4,2,7
835,4,1,37.0,5,7,0,1,3,2
836,4,1,37.0,5,7,0,1,3,2
837,4,1,37.0,5,7,0,1,3,2
838,4,1,37.0,5,7,0,1,3,2
839,26,5,70.0,3,2,7,0,2,4
840,26,5,70.0,3,2,7,0,2,4
841,12,8,31.0,4,13,2,3,3,1
842,12,8,31.0,4,13,2,3,3,1
843,0,6,8.0,0,2,1,4,3,1
844,0,6,8.0,0,2,1,4,3,1
845,11,4,71.0,4,3,5,3,3,4
846,11,4,71.0,4,3,5,3,3,4
847,6,3,9.0,4,4,0,2,3,2
848,6,3,9.0,4,4,0,2,3,2
849,7,6,16.0,2,4,1,1,3,1
850,7,6,16.0,2,4,1,1,3,1
851,25,8,85.0,32,42,5,2,2,2
852,25,8,85.0,32,42,5,2,2,2
853,25,8,85.0,32,42,5,2,2,2
854,25,8,85.0,32,42,5,2,2,2
855,19,7,79.0,13,25,4,3,3,2
856,19,7,79.0,13,25,4,3,3,2
857,19,7,79.0,13,25,4,3,3,2
858,19,7,79.0,13,25,4,3,3,2
859,20,6,78.0,28,32,3,4,3,3
860,20,6,78.0,28,32,3,4,3,3
861,20,6,78.0,28,32,3,4,3,3
862,20,6,78.0,28,32,3,4,3,3
863,14,2,50.0,22,24,3,0,2,3
864,14,2,50.0,22,24,3,0,2,3
865,14,2,50.0,22,24,3,0,2,3
866,14,2,50.0,22,24,3,0,2,3
867,22,7,82.0,44,50,6,4,3,6
868,22,7,82.0,44,50,6,4,3,6
869,22,7,82.0,44,50,6,4,3,6
870,22,7,82.0,44,50,6,4,3,6
871,21,4,60.0,28,33,4,4,3,3
872,21,4,60.0,28,33,4,4,3,3
873,21,4,60.0,28,33,4,4,3,3
874,21,4,60.0,28,33,4,4,3,3
875,40,6,76.0,65,113,10,4,2,5
876,40,6,76.0,65,113,10,4,2,5
877,40,6,76.0,65,113,10,4,2,5
878,40,6,76.0,65,113,10,4,2,5
879,23,4,72.0,45,61,4,3,2,3
880,23,4,72.0,45,61,4,3,2,3
881,23,4,72.0,45,61,4,3,2,3
882,23,4,72.0,45,61,4,3,2,3
883,8,4,84.0,30,38,9,4,3,5
884,8,4,84.0,30,38,9,4,3,5
885,8,4,84.0,30,38,9,4,3,5
886,8,4,84.0,30,38,9,4,3,5
887,0,3,60.0,8,20,6,3,3,2
888,0,3,60.0,8,20,6,3,3,2
889,0,3,60.0,8,20,6,3,3,2
890,0,3,60.0,8,20,6,3,3,2
891,32,7,73.0,15,19,10,4,3,7
892,32,7,73.0,15,19,10,4,3,7
893,6,7,57.0,7,18,5,4,3,3
894,6,7,57.0,7,18,5,4,3,3
895,18,5,97.0,26,28,7,3,3,3
896,18,5,97.0,26,28,7,3,3,3
897,23,2,13.0,34,38,1,1,2,3
898,23,2,13.0,34,38,1,1,2,3
899,0,3,68.0,4,11,5,2,3,0
900,0,3,68.0,4,11,5,2,3,0
901,12,4,13.0,0,0,0,1,3,0
902,12,4,13.0,0,0,0,1,3,0
903,17,7,61.0,13,28,8,3,3,5
904,16,0,40.0,0,17,5,2,1,4
905,0,5,42.0,3,3,0,3,3,3
906,3,5,28.0,3,0,0,1,3,0
907,0,4,3.0,0,0,0,2,3,1
908,0,6,1.0,1,0,0,0,3,0
909,0,4,0.0,0,0,0,3,3,2
910,0,3,0.0,0,0,0,0,0,1
911,0,5,2.0,0,2,0,4,3,1
912,0,6,2.0,0,0,2,3,3,1
913,0,0,9.0,0,0,0,1,3,0
914,0,0,9.0,0,0,0,1,3,0
915,0,8,40.0,11,38,2,3,3,2
916,0,8,40.0,11,38,2,3,3,2
917,12,3,28.0,25,37,1,0,3,2
918,12,3,28.0,25,37,1,0,3,2
919,0,5,62.0,64,116,9,4,3,4
920,0,5,62.0,64,116,9,4,3,4
921,29,9,81.0,25,40,8,3,3,3
922,29,9,81.0,25,40,8,3,3,3
923,6,6,42.0,14,25,9,4,3,3
924,6,6,42.0,14,25,9,4,3,3
925,0,10,30.0,0,3,0,3,3,0
926,0,10,30.0,0,3,0,3,3,0
927,31,9,66.0,37,37,4,3,3,5
928,31,9,66.0,37,37,4,3,3,5
929,31,9,66.0,37,37,4,3,3,5
930,18,5,52.0,14,32,2,2,2,2
931,18,5,52.0,14,32,2,2,2,2
932,18,5,52.0,14,32,2,2,2,2
933,49,10,92.0,100,150,10,4,3,8
934,49,10,92.0,100,150,10,4,3,8
935,49,10,92.0,100,150,10,4,3,8
936,50,8,97.0,88,129,10,3,2,6
937,50,8,97.0,88,129,10,3,2,6
938,50,8,97.0,88,129,10,3,2,6
939,35,7,82.0,54,91,8,4,2,5
940,35,7,82.0,54,91,8,4,2,5
941,35,7,82.0,54,91,8,4,2,5
942,38,8,79.0,46,80,7,4,3,5
943,38,8,79.0,46,80,7,4,3,5
944,38,8,79.0,46,80,7,4,3,5
945,15,8,74.0,27,52,9,4,3,4
946,15,8,74.0,27,52,9,4,3,4
947,15,8,74.0,27,52,9,4,3,4
948,0,7,78.0,18,38,9,3,3,3
949,0,7,78.0,18,38,9,3,3,3
950,0,7,78.0,18,38,9,3,3,3
951,6,6,77.0,0,3,5,2,3,2
952,6,6,77.0,0,3,5,2,3,2
953,3,4,31.0,0,0,0,0,3,2
954,3,4,31.0,0,0,0,0,3,2
955,0,6,14.0,3,10,0,0,3,2
956,0,6,14.0,3,10,0,0,3,2
957,35,7,80.0,1,8,10,4,3,5
958,35,7,80.0,1,8,10,4,3,5
959,0,5,17.0,46,89,2,0,2,0
960,0,5,17.0,46,89,2,0,2,0
961,9,4,37.0,3,5,0,1,3,2
962,9,4,37.0,3,5,0,1,3,2
963,17,5,39.0,7,21,4,2,3,2
964,17,5,39.0,7,21,4,2,3,2
965,15,4,31.0,6,0,0,1,3,2
966,15,4,31.0,6,0,0,1,3,2
967,10,1,43.0,15,29,2,1,3,2
968,10,1,43.0,15,29,2,1,3,2
969,30,4,86.0,33,64,8,3,3,3
970,30,4,86.0,33,64,8,3,3,3
971,29,3,53.0,31,53,6,4,3,3
972,11,6,30.0,11,30,7,2,3,2
973,22,10,49.0,45,97,10,4,3,8
974,18,8,56.0,41,84,10,3,3,5
975,18,7,52.0,11,22,2,4,3,3
976,16,5,38.0,5,0,0,3,3,1
977,16,7,59.0,37,55,8,4,3,6
978,21,7,67.0,20,37,6,2,3,3
979,24,5,56.0,27,39,5,3,1,6
980,18,0,50.0,15,27,6,2,3,4
981,32,3,85.0,33,69,9,3,1,5
982,25,8,66.0,26,51,9,4,3,3
983,24,9,75.0,60,90,9,4,3,6
984,21,8,62.0,42,57,9,3,3,4
985,35,10,78.0,55,116,10,4,3,8
986,32,9,75.0,48,100,10,4,3,4
987,48,6,87.0,72,98,10,3,3,6
988,50,4,77.0,74,95,7,2,3,7
989,20,9,109.0,48,80,10,4,1,5
990,14,10,91.0,33,37,10,3,3,3
991,31,7,81.0,58,94,10,4,3,6
992,33,10,78.0,55,67,10,4,3,5
993,11,9,81.0,47,75,10,4,3,7
994,0,5,69.0,51,63,10,3,3,6
995,50,10,107.0,83,120,10,4,3,6
996,50,7,100.0,83,113,9,2,3,6
997,48,10,100.0,71,124,9,4,3,8
998,47,8,103.0,57,88,10,2,3,6
999,24,3,66.0,26,49,9,4,3,2
1000,24,3,66.0,26,49,9,4,3,2
1001,3,6,17.0,36,63,1,3,3,2
1002,3,6,17.0,36,63,1,3,3,2
1003,0,5,53.0,71,86,7,4,3,3
1004,0,5,53.0,71,86,7,4,3,3
1005,13,7,41.0,48,76,0,1,3,2
1006,13,7,41.0,48,76,0,1,3,2
1007,1,5,63.0,16,43,9,4,3,2
1008,1,5,63.0,16,43,9,4,3,2
1009,33,9,63.0,35,63,9,3,3,5
1010,33,9,63.0,35,63,9,3,3,5
1011,0,4,0.0,34,56,0,0,3,2
1012,0,4,0.0,34,56,0,0,3,2
1013,0,4,0.0,59,78,0,0,3,2
1014,0,4,0.0,59,78,0,0,3,2
1015,30,8,89.0,52,77,7,4,1,5
1016,30,8,89.0,52,77,7,4,1,5
1017,2,7,55.0,0,0,6,3,3,2
1018,2,7,55.0,0,0,6,3,3,2
1019,5,3,59.0,13,32,3,4,2,5
1020,5,3,59.0,13,32,3,4,2,5
1021,27,9,89.0,36,0,0,0,3,0
1022,47,8,74.0,3,4,7,2,2,5
1023,22,9,63.0,9,16,8,3,3,5
1024,0,2,30.0,39,53,2,3,3,2
1025,15,4,83.0,1,0,5,3,1,2
1026,33,6,64.0,46,83,9,4,3,5
1027,7,3,49.0,4,9,0,0,3,3
1028,5,5,10.0,6,22,0,0,2,2
1029,28,6,70.0,11,25,9,3,3,5
1030,20,7,53.0,9,15,4,4,3,4
1031,23,10,98.0,1,7,7,3,3,2
1032,9,5,78.0,42,89,9,3,3,3
1033,0,8,32.0,12,28,1,3,1,2
1034,32,5,65.0,4,6,1,1,3,2
1035,19,6,70.0,0,0,7,1,3,4
1036,20,0,73.0,26,33,5,4,3,3
1037,26,6,67.0,47,44,7,1,3,2
1038,0,5,39.0,9,14,4,1,3,2
1039,19,5,61.0,27,57,9,3,3,4
1040,18,7,31.0,43,80,6,2,3,2
1041,11,5,29.0,0,8,3,2,3,1
1042,16,7,62.0,0,3,8,4,3,3
1043,0,0,18.0,0,0,0,0,3,3
1044,0,7,29.0,12,7,1,3,3,2
1045,17,3,52.0,0,0,7,3,3,3
1046,0,3,5.0,0,0,0,3,2,1
1047,0,7,4.0,0,0,0,2,0,0
1048,2,4,47.0,0,0,3,1,3,3
1049,18,6,46.0,0,0,6,2,3,3
1050,0,4,6.0,2,1,3,3,3,2
1051,0,2,0.0,0,0,0,0,0,2
1052,0,2,3.0,0,1,0,0,3,2
1053,5,0,32.0,0,4,2,3,3,1
1054,0,1,2.0,0,0,0,0,3,2
1055,0,5,1.0,0,0,0,1,3,0
1056,0,6,64.0,0,0,6,1,3,2
