,EGRA Section 1a Score,EGRA Section 1b Score,EGRA Section 1c Score,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 Letters Correct,EGRA Section 3 Time Completed,EGRA Section 3 LPM,EGRA Section 4 Words Correct,EGRA Section 4 Time Completed,EGRA Section 4: WPM,EGRA Section 5 Words Correct,EGRA Section 5 Time Completed,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 6 Written Words Correct,EGRA Section 6 Correct Space/Direction,EGRA Section 6 Correct Punctuation,EGRA Section 6 Correct Use of Capitals,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score,Grade_x,School Year_x,Date of Test,Pre or Post?,Main Language Used In Exam,EGRA Question 1: Reading Habit,EGRA Last Book Read,Reads With Others,"How Often, ReadsWithOthers",Student Gender,Class Number,Teacher Number: Teacher Number,Date,Q1 Rating or Answer,Q2 Rating,Q3 Rating or Answer,Q4 Rating or Answer,Q5 Rating or Answer,Q6 Rating or Answer,Q7 Rating,Q8 Rating,Skill to Improve 1,Skill to Improve 2,Minutes Spent Observing,Minutes Spent Coaching,Total Score,Teacher Number: Gender,Teacher Number: School Years in Teacher Support Program,Teacher Present,Average Students Enrolled,School Year_y
15,1,1,0,47,9,100,60.0,100.0,49,39.0,75,60,38.0,95,9,4,2,0,1,3,2,7,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,0,0,Male,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
16,1,1,1,35,8,92,60.0,92.0,45,48.0,56,58,45.0,77,9,3,2,0,1,3,3,6,5,2020-2021,11/24/21,Post,English,Yes,Yes,1,1,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
17,1,1,0,21,9,87,60.0,87.0,40,60.0,40,57,67.0,51,10,1,2,0,0,4,2,3,5,2020-2021,5/10/21,Pre,English,Yes,Yes,1,2,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
18,1,0,1,24,8,57,60.0,57.0,43,53.0,49,58,33.0,105,9,4,2,1,1,4,2,8,5,2020-2021,11/24/21,Post,English,Yes,Yes,1,2,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
19,1,1,1,13,8,58,60.0,58.0,41,60.0,41,54,48.0,68,9,3,2,0,1,3,3,6,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,3,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
20,1,1,0,22,6,86,60.0,86.0,49,49.0,60,58,44.0,79,9,4,2,0,1,3,2,7,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,3,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
21,1,1,1,22,5,69,60.0,69.0,29,60.0,29,51,72.0,43,10,1,2,0,1,1,3,4,5,2020-2021,5/10/21,Pre,English,Yes,Yes,1,3,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
22,1,1,0,16,10,67,60.0,67.0,29,60.0,29,59,52.0,68,8,3,2,0,1,4,2,6,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
23,1,1,1,0,6,80,60.0,80.0,16,60.0,16,49,125.0,24,9,0,2,0,1,3,3,3,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,Yes,1,2,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
24,1,1,1,26,4,81,60.0,81.0,42,48.0,53,60,46.0,78,10,4,2,0,1,4,3,7,5,2020-2021,11/24/21,Post,English; Ewe,Yes,Yes,1,1,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
25,1,1,1,18,1,67,60.0,67.0,37,60.0,37,53,51.0,62,6,2,2,0,0,3,3,4,5,2020-2021,5/10/21,Pre,English,No,No,1,4,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
26,1,1,1,3,7,53,60.0,53.0,7,60.0,7,46,99.0,28,8,4,2,0,1,4,3,7,5,2020-2021,11/24/21,Post,English,Yes,Yes,0,0,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
27,1,1,1,4,6,38,60.0,38.0,2,60.0,2,35,180.0,12,8,1,2,0,1,2,3,4,5,2020-2021,5/10/21,Pre,English; Ewe,Yes,No,1,2,Female,Class-032245,Teacher-02639,2021-07-13 00:00:00,0,0,0,0,0,0,0,0,None,None,19.35,8.18875,0,Female,3,Not Present,15,2020-2021
